Vazao	Mes	Ano
0	1	1913
0.329522367	2	1913
1.116124148	3	1913
0.8073298	4	1913
0.930103456	5	1913
1.653103876	6	1913
1.153328286	7	1913
0.520857936	8	1913
0.153777105	9	1913
0	10	1913
0	11	1913
0	12	1913
0.409245521	1	1914
1.482850653	2	1914
1.153328286	3	1914
1.6146596	4	1914
2.195044157	5	1914
1.768436705	6	1914
1.413757254	7	1914
1.078920009	8	1914
0.422887038	9	1914
0.074408277	10	1914
0	11	1914
0	12	1914
0	1	1915
0	2	1915
0	3	1915
0.115332829	4	1915
0.037204138	5	1915
0	6	1915
0	7	1915
0	8	1915
0	9	1915
0	10	1915
0	11	1915
0.037204138	12	1915
0.074408277	1	1916
0.159079764	2	1916
0.706878627	3	1916
0.730441248	4	1916
2.604289678	5	1916
1.729992429	6	1916
0.85569518	7	1916
0.334837244	8	1916
0.076888552	9	1916
0	10	1916
0	11	1916
0	12	1916
0.111612415	1	1917
0.453093255	2	1917
3.162351752	3	1917
2.998653543	4	1917
6.882765577	5	1917
2.883320715	6	1917
1.376553115	7	1917
0.558062074	8	1917
0.153777105	9	1917
0	10	1917
0	11	1917
0	12	1917
0.111612415	1	1918
0.082380592	2	1918
0.334837244	3	1918
2.114435191	4	1918
2.12063588	5	1918
1.422438219	6	1918
0.706878627	7	1918
0.372041383	8	1918
0.115332829	9	1918
0	10	1918
0	11	1918
0	12	1918
0.037204138	1	1919
0.082380592	2	1919
0.111612415	3	1919
0	4	1919
0	5	1919
0.038444276	6	1919
0.074408277	7	1919
0	8	1919
0	9	1919
0	10	1919
0	11	1919
0	12	1919
0	1	1920
0	2	1920
0.818491042	3	1920
3.459984858	4	1920
2.864718646	5	1920
1.960658086	6	1920
0.967307595	7	1920
0.372041383	8	1920
0.076888552	9	1920
0	10	1920
0	11	1920
0	12	1920
0	1	1921
0.247141776	2	1921
1.264940701	3	1921
2.806432162	4	1921
2.641493816	5	1921
1.806880981	6	1921
0.967307595	7	1921
0.595266212	8	1921
0.192221381	9	1921
0	10	1921
0	11	1921
0	12	1921
0	1	1922
0	2	1922
0.260428968	3	1922
1.383993943	4	1922
2.195044157	5	1922
1.6146596	6	1922
0.85569518	7	1922
0.409245521	8	1922
0.115332829	9	1922
0	10	1922
0	11	1922
0	12	1922
0	1	1923
0.329522367	2	1923
0.930103456	3	1923
0.730441248	4	1923
0.85569518	5	1923
0.499775591	6	1923
0.260428968	7	1923
0.074408277	8	1923
0	9	1923
0	10	1923
0	11	1923
0	12	1923
0	1	1924
0.676088995	2	1924
1.153328286	3	1924
25.33477801	4	1924
3.608801411	5	1924
2.383545124	6	1924
1.339348977	7	1924
0.558062074	8	1924
0.153777105	9	1924
0	10	1924
0	11	1924
0	12	1924
0.037204138	1	1925
0.164761184	2	1925
0.409245521	3	1925
1.653103876	4	1925
2.418268987	5	1925
1.422438219	6	1925
0.744082765	7	1925
0.297633106	8	1925
0.038444276	9	1925
0	10	1925
0	11	1925
0	12	1925
0.260428968	1	1926
0.20595148	2	1926
1.116124148	3	1926
2.652655058	4	1926
2.269452434	5	1926
1.460882495	6	1926
0.706878627	7	1926
0.260428968	8	1926
0.038444276	9	1926
0	10	1926
0	11	1926
0	12	1926
0	1	1927
0.082380592	2	1927
1.376553115	3	1927
1.6146596	4	1927
1.339348977	5	1927
0.768885524	6	1927
0.372041383	7	1927
0.111612415	8	1927
0	9	1927
0	10	1927
0	11	1927
0	12	1927
0	1	1928
0	2	1928
0.706878627	3	1928
1.960658086	4	1928
1.48816553	5	1928
0.730441248	6	1928
0.334837244	7	1928
0.074408277	8	1928
0	9	1928
0	10	1928
0	11	1928
0	12	1928
0	1	1929
0.494283551	2	1929
1.078920009	3	1929
2.037546638	4	1929
2.157840019	5	1929
1.11488401	6	1929
0.520857936	7	1929
0.186020691	8	1929
0.038444276	9	1929
0	10	1929
0	11	1929
0.037204138	12	1929
0	1	1930
0	2	1930
0.074408277	3	1930
0.538219867	4	1930
0.63247035	5	1930
0.384442762	6	1930
0.22322483	7	1930
0.037204138	8	1930
0	9	1930
0	10	1930
0	11	1930
0	12	1930
0.111612415	1	1931
0.288332071	2	1931
0.595266212	3	1931
0.730441248	4	1931
0.483653797	5	1931
0.230665657	6	1931
0.074408277	7	1931
0	8	1931
0	9	1931
0	10	1931
0	11	1931
0	12	1931
0	1	1932
0.039769941	2	1932
0.372041383	3	1932
0.230665657	4	1932
0.074408277	5	1932
0.038444276	6	1932
0.037204138	7	1932
0	8	1932
0	9	1932
0	10	1932
0	11	1932
0	12	1932
0.037204138	1	1933
0.164761184	2	1933
0.260428968	3	1933
0.845774076	4	1933
0.967307595	5	1933
0.461331314	6	1933
0.22322483	7	1933
0.037204138	8	1933
0	9	1933
0	10	1933
0	11	1933
0	12	1933
0.074408277	1	1934
0.082380592	2	1934
1.823002774	3	1934
2.652655058	4	1934
3.125147613	5	1934
2.268212296	6	1934
1.116124148	7	1934
0.446449659	8	1934
0.115332829	9	1934
0	10	1934
0	11	1934
0.037204138	12	1934
0	1	1935
0.535473847	2	1935
0.930103456	3	1935
2.306656572	4	1935
6.361907641	5	1935
3.421540581	6	1935
2.455473125	7	1935
1.078920009	8	1935
0.345998486	9	1935
0.074408277	10	1935
0	11	1935
0	12	1935
0.037204138	1	1936
0.238619645	2	1936
0.446449659	3	1936
0.30755421	4	1936
0.148816553	5	1936
0.115332829	6	1936
0.706878627	7	1936
0.260428968	8	1936
0.038444276	9	1936
0	10	1936
0	11	1936
0	12	1936
0	1	1937
0	2	1937
0.409245521	3	1937
1.537771048	4	1937
1.71139036	5	1937
1.153328286	6	1937
0.595266212	7	1937
0.22322483	8	1937
0.038444276	9	1937
0	10	1937
0	11	1937
0	12	1937
0.074408277	1	1938
0.082380592	2	1938
0.372041383	3	1938
0.653552695	4	1938
0.744082765	5	1938
0.345998486	6	1938
0.111612415	7	1938
0	8	1938
0	9	1938
0	10	1938
0	11	1938
0	12	1938
0	1	1939
0	2	1939
0.558062074	3	1939
0.845774076	4	1939
0.558062074	5	1939
0.768885524	6	1939
0.372041383	7	1939
0.148816553	8	1939
0	9	1939
0	10	1939
0	11	1939
0	12	1939
0.297633106	1	1940
0.357929468	2	1940
1.190532424	3	1940
6.57397123	4	1940
10.45436285	5	1940
2.883320715	6	1940
1.450961392	7	1940
0.63247035	8	1940
0.192221381	9	1940
0	10	1940
0	11	1940
0	12	1940
0	1	1941
0	2	1941
1.599777945	3	1941
1.307105391	4	1941
0.706878627	5	1941
0.345998486	6	1941
0.148816553	7	1941
0.037204138	8	1941
0	9	1941
0	10	1941
0	11	1941
0	12	1941
0	1	1942
0.041190296	2	1942
0.111612415	3	1942
0.115332829	4	1942
0.111612415	5	1942
0.038444276	6	1942
0	7	1942
0	8	1942
0	9	1942
0	10	1942
0	11	1942
0	12	1942
0	1	1943
0.329522367	2	1943
0.260428968	3	1943
1.230216838	4	1943
0.669674489	5	1943
0.30755421	6	1943
0.186020691	7	1943
0.037204138	8	1943
0	9	1943
0	10	1943
0	11	1943
0	12	1943
0	1	1944
0.039769941	2	1944
0.372041383	3	1944
1.999102362	4	1944
2.157840019	5	1944
1.230216838	6	1944
0.63247035	7	1944
0.22322483	8	1944
0.038444276	9	1944
0	10	1944
0	11	1944
0	12	1944
0.037204138	1	1945
0.494283551	2	1945
0.409245521	3	1945
1.383993943	4	1945
1.934615189	5	1945
1.6146596	6	1945
0.818491042	7	1945
0.297633106	8	1945
0.076888552	9	1945
0	10	1945
0	11	1945
0	12	1945
0	1	1946
0.041190296	2	1946
1.302144839	3	1946
1.268661114	4	1946
0.781286903	5	1946
0.461331314	6	1946
0.22322483	7	1946
0.037204138	8	1946
0	9	1946
0	10	1946
0	11	1946
0	12	1946
0	1	1947
0.123570888	2	1947
1.116124148	3	1947
7.804188068	4	1947
11.570487	5	1947
2.345100848	6	1947
1.078920009	7	1947
0.446449659	8	1947
0.115332829	9	1947
0	10	1947
0	11	1947
0.074408277	12	1947
0	1	1948
0.079539882	2	1948
0.818491042	3	1948
1.383993943	4	1948
1.897411051	5	1948
1.191772562	6	1948
0.706878627	7	1948
0.260428968	8	1948
0.038444276	9	1948
0	10	1948
0	11	1948
0	12	1948
0	1	1949
0	2	1949
0.669674489	3	1949
0.768885524	4	1949
2.046227604	5	1949
2.691099334	6	1949
1.264940701	7	1949
0.520857936	8	1949
0.153777105	9	1949
0	10	1949
0	11	1949
0.037204138	12	1949
0	1	1950
0	2	1950
0.409245521	3	1950
2.460433677	4	1950
3.385576581	5	1950
1.768436705	6	1950
0.818491042	7	1950
0.297633106	8	1950
0.076888552	9	1950
0	10	1950
0	11	1950
0	12	1950
0	1	1951
0	2	1951
0	3	1951
0.499775591	4	1951
0.446449659	5	1951
0.30755421	6	1951
0.148816553	7	1951
0.037204138	8	1951
0	9	1951
0	10	1951
0	11	1951
0.037204138	12	1951
0	1	1952
0.119309823	2	1952
0.520857936	3	1952
1.268661114	4	1952
1.823002774	5	1952
1.037995457	6	1952
0.446449659	7	1952
0.148816553	8	1952
0	9	1952
0	10	1952
0	11	1952
0	12	1952
0	1	1953
0	2	1953
0.074408277	3	1953
0.192221381	4	1953
0.297633106	5	1953
0.345998486	6	1953
0.148816553	7	1953
0	8	1953
0	9	1953
0	10	1953
0	11	1953
0	12	1953
0	1	1954
0.370712663	2	1954
0.558062074	3	1954
1.345549667	4	1954
1.748594498	5	1954
1.576215324	6	1954
0.744082765	7	1954
0.297633106	8	1954
0.038444276	9	1954
0	10	1954
0	11	1954
0	12	1954
0.037204138	1	1955
0.411902959	2	1955
1.599777945	3	1955
1.92221381	4	1955
2.195044157	5	1955
1.153328286	6	1955
0.520857936	7	1955
0.186020691	8	1955
0	9	1955
0	10	1955
0	11	1955
0	12	1955
0	1	1956
0.198849704	2	1956
0.558062074	3	1956
2.575766505	4	1956
1.636982083	5	1956
0.922662629	6	1956
0.744082765	7	1956
0.297633106	8	1956
0.076888552	9	1956
0	10	1956
0	11	1956
0	12	1956
0	1	1957
0.041190296	2	1957
0.669674489	3	1957
2.268212296	4	1957
2.046227604	5	1957
1.268661114	6	1957
0.558062074	7	1957
0.22322483	8	1957
0.038444276	9	1957
0	10	1957
0	11	1957
0	12	1957
0	1	1958
0.041190296	2	1958
0.037204138	3	1958
0.115332829	4	1958
0.074408277	5	1958
0.038444276	6	1958
0.037204138	7	1958
0	8	1958
0	9	1958
0	10	1958
0	11	1958
0	12	1958
0	1	1959
0.082380592	2	1959
0.818491042	3	1959
0.845774076	4	1959
0.558062074	5	1959
0.345998486	6	1959
0.260428968	7	1959
0.111612415	8	1959
0	9	1959
0	10	1959
0	11	1959
0	12	1959
0	1	1960
0	2	1960
1.562573807	3	1960
3.383096305	4	1960
1.823002774	5	1960
0.845774076	6	1960
0.483653797	7	1960
0.22322483	8	1960
0.038444276	9	1960
0	10	1960
0	11	1960
0	12	1960
0.334837244	1	1961
1.647611837	2	1961
1.562573807	3	1961
2.806432162	4	1961
2.195044157	5	1961
1.153328286	6	1961
0.558062074	7	1961
0.260428968	8	1961
0.038444276	9	1961
0	10	1961
0	11	1961
0	12	1961
0	1	1962
0	2	1962
0.818491042	3	1962
2.191323743	4	1962
1.934615189	5	1962
1.037995457	6	1962
0.446449659	7	1962
0.148816553	8	1962
0	9	1962
0	10	1962
0	11	1962
0	12	1962
0	1	1963
0.082380592	2	1963
1.413757254	3	1963
2.652655058	4	1963
1.971819327	5	1963
0.961106905	6	1963
0.446449659	7	1963
0.148816553	8	1963
0	9	1963
0	10	1963
0.038444276	11	1963
0.074408277	12	1963
0.781286903	1	1964
0.954478581	2	1964
2.12063588	3	1964
5.189977286	4	1964
6.101478674	5	1964
2.691099334	6	1964
2.418268987	7	1964
1.339348977	8	1964
0.499775591	9	1964
0.111612415	10	1964
0	11	1964
0	12	1964
0	1	1965
0	2	1965
0.334837244	3	1965
2.575766505	4	1965
4.129659346	5	1965
2.806432162	6	1965
1.823002774	7	1965
0.781286903	8	1965
0.230665657	9	1965
0.037204138	10	1965
0	11	1965
0	12	1965
0	1	1966
0.247141776	2	1966
0.22322483	3	1966
0.269109933	4	1966
0.297633106	5	1966
0.884218353	6	1966
0.483653797	7	1966
0.186020691	8	1966
0.038444276	9	1966
0	10	1966
0.076888552	11	1966
0.22322483	12	1966
0	1	1967
0.041190296	2	1967
0.930103456	3	1967
18.45325257	4	1967
11.04962906	5	1967
2.575766505	6	1967
1.525369668	7	1967
0.669674489	8	1967
0.192221381	9	1967
0	10	1967
0	11	1967
0	12	1967
0.111612415	1	1968
0.198849704	2	1968
1.897411051	3	1968
3.306207753	4	1968
3.720413825	5	1968
2.460433677	6	1968
1.264940701	7	1968
0.520857936	8	1968
0.153777105	9	1968
0	10	1968
0	11	1968
0	12	1968
0	1	1969
0.041190296	2	1969
0.483653797	3	1969
1.537771048	4	1969
1.525369668	5	1969
1.037995457	6	1969
0.63247035	7	1969
0.409245521	8	1969
0.115332829	9	1969
0	10	1969
0	11	1969
0	12	1969
0.111612415	1	1970
0.20595148	2	1970
0.669674489	3	1970
0.8073298	4	1970
0.520857936	5	1970
0.192221381	6	1970
0.037204138	7	1970
0	8	1970
0	9	1970
0	10	1970
0	11	1970
0	12	1970
0	1	1971
0.082380592	2	1971
0.63247035	3	1971
6.420194125	4	1971
9.412646978	5	1971
2.844876439	6	1971
1.413757254	7	1971
0.669674489	8	1971
0.192221381	9	1971
0.037204138	10	1971
0	11	1971
0	12	1971
0	1	1972
0.119309823	2	1972
0.669674489	3	1972
0.884218353	4	1972
1.041715871	5	1972
0.538219867	6	1972
0.22322483	7	1972
0.074408277	8	1972
0.076888552	9	1972
0	10	1972
0	11	1972
0.037204138	12	1972
0.074408277	1	1973
0	2	1973
0.111612415	3	1973
1.191772562	4	1973
2.604289678	5	1973
1.883769534	6	1973
1.227736562	7	1973
0.669674489	8	1973
0.192221381	9	1973
0.111612415	10	1973
0	11	1973
0	12	1973
0.074408277	1	1974
1.029757398	2	1974
2.381064848	3	1974
52.63021411	4	1974
8.594155937	5	1974
4.920867353	6	1974
2.678697954	7	1974
1.48816553	8	1974
0.538219867	9	1974
0.148816553	10	1974
0	11	1974
0.148816553	12	1974
0.037204138	1	1975
0.041190296	2	1975
1.48816553	3	1975
2.691099334	4	1975
3.236760028	5	1975
2.268212296	6	1975
1.860206913	7	1975
0.967307595	8	1975
0.30755421	9	1975
0.037204138	10	1975
0	11	1975
0.037204138	12	1975
0	1	1976
0.477239291	2	1976
0.63247035	3	1976
2.037546638	4	1976
1.562573807	5	1976
0.884218353	6	1976
0.409245521	7	1976
0.148816553	8	1976
0	9	1976
0	10	1976
0	11	1976
0	12	1976
0.074408277	1	1977
0.370712663	2	1977
0.520857936	3	1977
2.4219894	4	1977
3.683209687	5	1977
2.844876439	6	1977
1.934615189	7	1977
0.930103456	8	1977
0.30755421	9	1977
0.037204138	10	1977
0	11	1977
0	12	1977
0	1	1978
0.288332071	2	1978
1.71139036	3	1978
1.691548153	4	1978
1.860206913	5	1978
1.460882495	6	1978
0.818491042	7	1978
0.520857936	8	1978
0.153777105	9	1978
0	10	1978
0	11	1978
0	12	1978
0.037204138	1	1979
0.082380592	2	1979
1.004511733	3	1979
1.037995457	4	1979
1.190532424	5	1979
0.884218353	6	1979
0.446449659	7	1979
0.148816553	8	1979
0	9	1979
0	10	1979
0	11	1979
0	12	1979
0	1	1980
0.159079764	2	1980
1.71139036	3	1980
1.268661114	4	1980
0.63247035	5	1980
0.345998486	6	1980
0.148816553	7	1980
0.037204138	8	1980
0	9	1980
0	10	1980
0	11	1980
0	12	1980
0.074408277	1	1981
0.082380592	2	1981
0.558062074	3	1981
3.383096305	4	1981
1.785798636	5	1981
0.922662629	6	1981
0.409245521	7	1981
0.111612415	8	1981
0	9	1981
0	10	1981
0	11	1981
0	12	1981
0	1	1982
0	2	1982
0.148816553	3	1982
0.499775591	4	1982
1.71139036	5	1982
1.037995457	6	1982
0.483653797	7	1982
0.186020691	8	1982
0	9	1982
0	10	1982
0	11	1982
0	12	1982
0	1	1983
0.453093255	2	1983
0.372041383	3	1983
0.884218353	4	1983
0.446449659	5	1983
0.192221381	6	1983
0.037204138	7	1983
0	8	1983
0	9	1983
0	10	1983
0	11	1983
0	12	1983
0	1	1984
0	2	1984
0.074408277	3	1984
2.114435191	4	1984
7.589644204	5	1984
2.883320715	6	1984
1.562573807	7	1984
0.930103456	8	1984
0.30755421	9	1984
0.037204138	10	1984
0	11	1984
0	12	1984
0	1	1985
0.823805918	2	1985
1.636982083	3	1985
34.17696154	4	1985
12.68661114	5	1985
2.345100848	6	1985
1.525369668	7	1985
0.781286903	8	1985
0.269109933	9	1985
0.037204138	10	1985
0	11	1985
0.037204138	12	1985
0.037204138	1	1986
0.864996214	2	1986
2.232248295	3	1986
6.458638401	4	1986
3.125147613	5	1986
1.960658086	6	1986
1.116124148	7	1986
0.520857936	8	1986
0.153777105	9	1986
0	10	1986
0	11	1986
0	12	1986
0	1	1987
0	2	1987
